id,tipo,individual,esquema
1175,0,1,http://dummyimage.com/181x219.png/dddddd/000000
1015,0,1,http://dummyimage.com/124x110.png/dddddd/000000
1616,1,0,http://dummyimage.com/221x154.png/5fa2dd/ffffff
1898,2,0,http://dummyimage.com/182x230.png/dddddd/000000
1250,2,0,http://dummyimage.com/240x105.jpg/dddddd/000000
1652,0,1,http://dummyimage.com/203x181.bmp/ff4444/ffffff
1732,0,1,http://dummyimage.com/232x218.bmp/dddddd/000000
1337,0,1,http://dummyimage.com/226x230.jpg/dddddd/000000
1956,0,1,http://dummyimage.com/141x161.bmp/cc0000/ffffff
1001,0,1,http://dummyimage.com/129x115.jpg/ff4444/ffffff
1831,1,1,http://dummyimage.com/200x165.png/cc0000/ffffff
1807,0,1,http://dummyimage.com/128x113.jpg/ff4444/ffffff
1242,2,1,http://dummyimage.com/149x210.bmp/cc0000/ffffff
1808,0,1,http://dummyimage.com/250x194.png/cc0000/ffffff
1386,2,1,http://dummyimage.com/109x198.jpg/cc0000/ffffff
1329,0,1,http://dummyimage.com/111x182.png/ff4444/ffffff
1461,2,1,http://dummyimage.com/134x167.bmp/cc0000/ffffff
1569,1,1,http://dummyimage.com/244x204.bmp/ff4444/ffffff
1463,2,1,http://dummyimage.com/200x134.bmp/cc0000/ffffff
1004,1,0,http://dummyimage.com/171x116.png/cc0000/ffffff
1929,2,1,http://dummyimage.com/102x122.jpg/ff4444/ffffff
1224,1,1,http://dummyimage.com/228x101.jpg/5fa2dd/ffffff
1560,2,0,http://dummyimage.com/139x138.bmp/5fa2dd/ffffff
1547,0,1,http://dummyimage.com/105x140.jpg/dddddd/000000
1279,1,1,http://dummyimage.com/196x225.png/ff4444/ffffff
1736,0,0,http://dummyimage.com/250x118.bmp/dddddd/000000
1296,1,1,http://dummyimage.com/231x190.png/dddddd/000000
1219,1,1,http://dummyimage.com/166x194.png/5fa2dd/ffffff
1642,1,0,http://dummyimage.com/117x154.png/ff4444/ffffff
1716,0,1,http://dummyimage.com/171x187.bmp/5fa2dd/ffffff
1399,1,0,http://dummyimage.com/216x167.jpg/cc0000/ffffff
1795,2,0,http://dummyimage.com/223x192.png/5fa2dd/ffffff
1980,1,0,http://dummyimage.com/218x140.bmp/ff4444/ffffff
1832,2,1,http://dummyimage.com/165x244.png/dddddd/000000
1970,2,1,http://dummyimage.com/132x126.bmp/cc0000/ffffff
1162,1,0,http://dummyimage.com/234x229.jpg/ff4444/ffffff
1500,0,0,http://dummyimage.com/200x187.bmp/5fa2dd/ffffff
1379,2,1,http://dummyimage.com/149x205.png/cc0000/ffffff
1203,0,1,http://dummyimage.com/115x210.bmp/5fa2dd/ffffff
1037,0,0,http://dummyimage.com/236x137.jpg/ff4444/ffffff
1967,0,1,http://dummyimage.com/232x126.jpg/cc0000/ffffff
1905,0,0,http://dummyimage.com/242x197.png/ff4444/ffffff
1950,0,1,http://dummyimage.com/110x121.jpg/5fa2dd/ffffff
1134,0,0,http://dummyimage.com/152x204.png/dddddd/000000
1278,1,0,http://dummyimage.com/203x176.bmp/cc0000/ffffff
1352,2,0,http://dummyimage.com/146x158.png/ff4444/ffffff
1999,2,0,http://dummyimage.com/156x187.bmp/ff4444/ffffff
1245,2,0,http://dummyimage.com/142x234.jpg/dddddd/000000
1577,0,1,http://dummyimage.com/100x140.png/ff4444/ffffff
1173,0,0,http://dummyimage.com/108x210.jpg/ff4444/ffffff
1580,1,1,http://dummyimage.com/222x125.jpg/cc0000/ffffff
1719,1,1,http://dummyimage.com/171x220.bmp/ff4444/ffffff
1550,1,0,http://dummyimage.com/163x207.bmp/dddddd/000000
1218,0,1,http://dummyimage.com/218x240.bmp/cc0000/ffffff
1618,0,1,http://dummyimage.com/136x210.png/cc0000/ffffff
1689,1,1,http://dummyimage.com/100x250.png/ff4444/ffffff
1475,2,0,http://dummyimage.com/153x104.bmp/dddddd/000000
1991,1,1,http://dummyimage.com/183x218.png/ff4444/ffffff
1769,0,0,http://dummyimage.com/144x177.png/cc0000/ffffff
1927,1,0,http://dummyimage.com/154x103.png/ff4444/ffffff
1903,2,1,http://dummyimage.com/237x120.png/dddddd/000000
1102,2,0,http://dummyimage.com/216x186.jpg/cc0000/ffffff
1140,0,0,http://dummyimage.com/228x135.jpg/5fa2dd/ffffff
1086,0,0,http://dummyimage.com/117x141.png/cc0000/ffffff
1858,1,1,http://dummyimage.com/127x227.png/ff4444/ffffff
1919,0,1,http://dummyimage.com/168x135.png/5fa2dd/ffffff
