id,fechaInicio,fechaFin,personas,porcentaje a pagar,montoTotal,propiedad,colectiva
2001,2018-02-13,2018-02-20 09:51:13 UTC,9,Female,88,967,1759
2002,2019-02-11,2019-02-18 21:22:04 UTC,5,Male,45,932,1245
2003,2019-07-25,2019-08-01 15:36:50 UTC,4,Female,12,581,1790
2004,2018-09-10,2018-09-17 02:28:01 UTC,17,Female,98,975,1462
2005,2020-01-01,2020-01-08 09:38:11 UTC,5,Male,42,548,1610
2006,2018-10-18,2018-10-25 10:53:52 UTC,17,Male,64,624,1109
2007,2018-07-04,2018-07-11 02:41:04 UTC,17,Female,11,511,1410
2008,2020-06-07,2020-06-14 06:54:54 UTC,4,Female,82,579,1083
2009,2019-03-31,2019-04-07 04:40:03 UTC,3,Male,20,360,1401
2010,2018-12-13,2018-12-20 19:43:31 UTC,5,Male,59,508,1389
2011,2018-05-21,2018-05-28 21:52:40 UTC,19,Male,90,458,1419
2012,2018-09-12,2018-09-19 20:51:44 UTC,5,Female,30,659,1916
2013,2019-05-25,2019-06-01 00:06:12 UTC,19,Male,57,538,1649
2014,2020-04-05,2020-04-12 04:30:52 UTC,12,Male,82,596,1093
2015,2019-11-08,2019-11-15 15:19:43 UTC,17,Female,60,925,1611
2016,2018-12-07,2018-12-14 05:08:49 UTC,18,Male,19,750,1791
2017,2020-07-27,2020-08-03 15:10:08 UTC,15,Male,52,39,1798
2018,2018-11-07,2018-11-14 12:09:04 UTC,17,Female,54,682,1693
2019,2019-05-13,2019-05-20 15:48:51 UTC,7,Male,71,412,1865
2020,2020-06-04,2020-06-11 22:53:56 UTC,20,Male,41,901,1278
2021,2019-11-15,2019-11-22 14:42:38 UTC,6,Female,73,132,1127
2022,2020-04-05,2020-04-12 13:07:33 UTC,15,Female,19,211,1724
2023,2018-01-17,2018-01-24 09:45:17 UTC,19,Male,19,110,1772
2024,2018-06-30,2018-07-07 08:27:55 UTC,1,Male,61,262,1424
2025,2018-05-28,2018-06-04 21:49:31 UTC,5,Male,53,227,1855
2026,2019-09-10,2019-09-17 11:09:45 UTC,18,Male,23,726,1364
2027,2019-02-10,2019-02-17 01:30:30 UTC,20,Male,23,898,1300
2028,2018-04-18,2018-04-25 01:20:04 UTC,11,Female,23,536,1827
2029,2018-07-02,2018-07-09 13:30:00 UTC,10,Female,65,886,1552
2030,2020-03-11,2020-03-18 18:39:56 UTC,8,Female,99,3,1801
2031,2019-01-15,2019-01-22 11:47:54 UTC,6,Male,75,918,1400
2032,2018-11-18,2018-11-25 23:10:28 UTC,18,Female,41,237,1308
2033,2020-04-27,2020-05-04 02:13:01 UTC,3,Male,36,49,1788
2034,2018-05-24,2018-05-31 21:40:51 UTC,9,Male,35,562,1198
2035,2020-03-13,2020-03-20 07:22:17 UTC,4,Male,41,37,1571
2036,2019-11-25,2019-12-02 19:40:47 UTC,12,Female,79,76,1380
2037,2020-01-20,2020-01-27 21:29:12 UTC,12,Female,74,563,1742
2038,2018-12-04,2018-12-11 08:37:27 UTC,19,Male,15,806,1404
2039,2019-06-16,2019-06-23 12:58:56 UTC,18,Male,11,177,1784
2040,2019-06-02,2019-06-09 04:31:56 UTC,2,Male,79,895,1443
2041,2018-11-04,2018-11-11 10:53:05 UTC,20,Female,53,559,1062
2042,2019-04-03,2019-04-10 05:06:15 UTC,20,Female,15,749,1147
2043,2019-07-08,2019-07-15 12:31:53 UTC,6,Male,77,18,1146
2044,2020-02-11,2020-02-18 08:53:07 UTC,14,Male,26,618,1866
2045,2018-06-12,2018-06-19 12:13:39 UTC,9,Female,29,150,1516
2046,2019-04-24,2019-05-01 14:28:02 UTC,13,Male,19,486,1825
2047,2020-04-06,2020-04-13 17:44:09 UTC,15,Female,31,814,1616
2048,2019-07-11,2019-07-18 09:48:35 UTC,18,Male,50,353,1326
2049,2019-01-30,2019-02-06 11:03:04 UTC,17,Female,12,523,1336
2050,2018-10-03,2018-10-10 01:23:49 UTC,7,Female,21,636,1021
2051,2018-04-08,2018-04-15 04:14:57 UTC,16,Female,18,395,1729
2052,2018-11-14,2018-11-21 13:10:32 UTC,1,Male,12,38,1198
2053,2018-02-07,2018-02-14 15:52:00 UTC,17,Male,40,514,1762
2054,2018-08-22,2018-08-29 06:10:55 UTC,5,Male,13,342,1575
2055,2018-05-31,2018-06-07 18:14:47 UTC,6,Male,34,256,1406
2056,2018-02-06,2018-02-13 06:25:08 UTC,13,Male,59,500,1378
2057,2018-12-10,2018-12-17 14:42:49 UTC,12,Female,48,427,1506
2058,2020-08-15,2020-08-22 18:08:33 UTC,3,Male,63,933,1373
2059,2019-12-19,2019-12-26 11:26:56 UTC,15,Male,39,420,1516
2060,2020-04-13,2020-04-20 05:45:41 UTC,7,Female,18,602,1834
2061,2019-02-09,2019-02-16 06:39:09 UTC,8,Female,61,949,1890
2062,2020-07-19,2020-07-26 22:36:38 UTC,16,Male,35,615,1790
2063,2020-06-23,2020-06-30 23:27:48 UTC,13,Male,43,288,1223
2064,2019-04-21,2019-04-28 00:29:23 UTC,4,Female,79,964,1611
2065,2018-06-16,2018-06-23 18:50:06 UTC,9,Male,59,720,1038
2066,2020-02-04,2020-02-11 05:03:06 UTC,17,Male,17,82,1594
2067,2018-07-31,2018-08-07 12:15:52 UTC,18,Female,62,109,1488
2068,2018-12-25,2019-01-01 21:54:48 UTC,1,Male,56,336,1531
2069,2019-03-28,2019-04-04 18:02:59 UTC,3,Female,19,37,1436
2070,2020-07-01,2020-07-08 21:26:54 UTC,10,Male,50,100,1210
2071,2019-03-24,2019-03-31 03:26:31 UTC,4,Female,50,285,1866
2072,2019-06-03,2019-06-10 07:15:26 UTC,17,Male,79,155,1836
2073,2020-06-13,2020-06-20 05:34:03 UTC,15,Male,69,135,1580
2074,2020-03-01,2020-03-08 12:19:55 UTC,19,Female,81,947,1104
2075,2019-07-29,2019-08-05 01:12:37 UTC,2,Female,83,849,1943
2076,2020-05-30,2020-06-06 20:18:49 UTC,7,Male,29,614,1849
2077,2018-04-06,2018-04-13 14:48:05 UTC,15,Male,10,165,1061
2078,2019-08-13,2019-08-20 12:20:52 UTC,9,Female,62,96,1851
2079,2018-03-22,2018-03-29 23:31:10 UTC,15,Male,85,501,1639
2080,2020-06-17,2020-06-24 19:21:02 UTC,7,Female,94,942,1733
2081,2019-07-21,2019-07-28 04:06:22 UTC,4,Male,21,285,1521
2082,2018-11-17,2018-11-24 21:42:13 UTC,9,Male,59,433,1212
2083,2018-08-15,2018-08-22 01:28:23 UTC,14,Female,68,363,1518
2084,2019-08-28,2019-09-04 10:34:32 UTC,15,Male,95,564,1456
2085,2019-05-26,2019-06-02 14:31:24 UTC,1,Female,100,812,1556
2086,2020-05-30,2020-06-06 14:09:15 UTC,10,Male,77,183,1454
2087,2020-03-30,2020-04-06 02:47:55 UTC,19,Male,45,210,1616
2088,2018-01-02,2018-01-09 15:23:22 UTC,8,Male,66,381,1837
2089,2018-04-09,2018-04-16 16:09:34 UTC,2,Male,11,457,1329
2090,2018-06-14,2018-06-21 06:08:34 UTC,16,Male,80,506,1870
2091,2018-07-05,2018-07-12 19:19:37 UTC,12,Male,20,844,1524
2092,2019-11-02,2019-11-09 21:13:33 UTC,15,Female,41,705,1971
2093,2020-04-19,2020-04-26 19:03:05 UTC,5,Male,97,780,1876
2094,2020-07-16,2020-07-23 15:24:36 UTC,19,Male,99,330,1330
2095,2018-05-18,2018-05-25 05:45:53 UTC,7,Female,78,628,1617
2096,2019-03-09,2019-03-16 18:00:27 UTC,1,Male,64,286,1593
2097,2019-06-28,2019-07-05 09:17:26 UTC,11,Male,90,576,1795
2098,2018-08-13,2018-08-20 14:44:54 UTC,8,Male,84,939,1901
2099,2020-01-26,2020-02-02 05:02:44 UTC,4,Male,74,5,1566
2100,2020-04-21,2020-04-28 13:17:56 UTC,13,Female,75,927,1104
2101,2018-01-17,2018-01-24 18:37:11 UTC,9,Male,35,700,1265
2102,2020-07-22,2020-07-29 20:39:15 UTC,13,Female,96,78,1955
2103,2019-05-03,2019-05-10 07:45:29 UTC,9,Male,90,674,1931
2104,2018-06-15,2018-06-22 07:58:56 UTC,8,Male,34,786,1877
2105,2018-08-13,2018-08-20 23:17:17 UTC,12,Male,23,591,1478
2106,2018-08-24,2018-08-31 05:35:07 UTC,20,Male,97,28,1103
2107,2019-08-13,2019-08-20 00:45:40 UTC,10,Male,76,465,1299
2108,2019-01-05,2019-01-12 23:32:52 UTC,19,Male,43,523,1178
2109,2018-12-02,2018-12-09 17:49:56 UTC,16,Male,81,433,1040
2110,2018-08-13,2018-08-20 09:54:35 UTC,17,Male,77,736,1311
2111,2019-11-23,2019-11-30 01:49:24 UTC,6,Male,59,313,1400
2112,2020-06-07,2020-06-14 11:25:31 UTC,12,Female,61,440,1708
2113,2019-12-12,2019-12-19 17:36:44 UTC,11,Female,98,904,1868
2114,2018-08-02,2018-08-09 16:02:54 UTC,15,Male,56,301,1235
2115,2018-08-04,2018-08-11 03:04:16 UTC,11,Male,54,276,1745
2116,2018-03-27,2018-04-03 00:07:59 UTC,1,Female,99,974,1886
2117,2019-10-12,2019-10-19 10:24:01 UTC,1,Male,71,587,1155
2118,2018-12-09,2018-12-16 10:30:29 UTC,13,Male,99,902,1087
2119,2019-10-10,2019-10-17 03:08:52 UTC,12,Female,87,169,1968
2120,2018-09-20,2018-09-27 10:06:33 UTC,14,Female,14,806,1022
2121,2019-10-15,2019-10-22 01:49:00 UTC,7,Female,16,152,1258
2122,2020-03-25,2020-04-01 03:48:11 UTC,5,Male,82,707,1882
2123,2018-08-10,2018-08-17 01:43:14 UTC,17,Male,29,333,1413
2124,2019-07-23,2019-07-30 20:38:06 UTC,4,Female,72,520,1982
2125,2019-05-24,2019-05-31 22:07:58 UTC,9,Male,28,176,1120
2126,2018-11-12,2018-11-19 23:43:41 UTC,19,Male,19,670,1314
2127,2019-12-28,2020-01-04 15:09:38 UTC,7,Male,28,658,1076
2128,2019-04-05,2019-04-12 04:48:08 UTC,7,Female,66,509,1784
2129,2020-08-27,2020-09-03 23:34:52 UTC,11,Female,93,744,1053
2130,2020-01-14,2020-01-21 05:05:20 UTC,18,Female,15,743,1920
2131,2018-09-26,2018-10-03 04:13:35 UTC,8,Female,26,128,1010
2132,2018-03-24,2018-03-31 14:22:04 UTC,5,Male,38,465,1793
