id,fechaInicio,fechaFin,personas,porcentaje a pagar,montoTotal,propiedad,colectiva
11001,2020-01-23,2020-01-30 14:26:39 UTC,14,Male,75,2974,
11002,2018-05-13,2018-05-20 13:47:10 UTC,17,Female,19,2812,
11003,2018-04-03,2018-04-10 05:12:39 UTC,10,Female,68,2374,
11004,2020-05-09,2020-05-16 16:02:29 UTC,1,Male,51,2817,
11005,2019-08-08,2019-08-15 19:46:09 UTC,2,Female,92,2116,
11006,2018-06-07,2018-06-14 08:11:46 UTC,2,Female,14,2401,
11007,2019-04-21,2019-04-28 13:52:49 UTC,7,Female,65,2932,
11008,2020-01-16,2020-01-23 00:54:43 UTC,2,Female,43,2606,
11009,2020-02-18,2020-02-25 19:40:56 UTC,9,Male,36,2621,
11010,2018-12-26,2019-01-02 04:33:52 UTC,2,Female,88,2928,
11011,2018-05-10,2018-05-17 00:08:52 UTC,2,Male,22,2166,
11012,2018-01-04,2018-01-11 16:37:21 UTC,2,Female,11,2699,
11013,2018-12-19,2018-12-26 11:17:31 UTC,11,Female,31,2176,
11014,2019-09-03,2019-09-10 23:00:40 UTC,6,Male,83,2922,
11015,2018-07-03,2018-07-10 14:33:49 UTC,4,Male,75,2526,
11016,2019-08-30,2019-09-06 16:45:27 UTC,16,Female,39,2309,
11017,2019-01-11,2019-01-18 02:05:28 UTC,14,Female,76,2602,
11018,2019-04-03,2019-04-10 02:19:43 UTC,7,Male,86,2457,
11019,2019-04-17,2019-04-24 20:11:10 UTC,1,Female,44,2426,
11020,2020-02-13,2020-02-20 22:11:08 UTC,2,Male,14,2523,
11021,2018-01-17,2018-01-24 22:22:16 UTC,9,Female,14,2168,
11022,2020-06-18,2020-06-25 16:24:27 UTC,11,Female,80,2111,
11023,2020-08-07,2020-08-14 00:39:26 UTC,12,Female,30,2548,
11024,2019-10-18,2019-10-25 08:10:11 UTC,17,Female,74,2599,
11025,2020-08-27,2020-09-03 00:58:00 UTC,2,Female,44,2742,
11026,2018-05-16,2018-05-23 06:26:19 UTC,9,Male,50,2879,
11027,2020-02-23,2020-03-01 16:45:43 UTC,13,Male,20,2287,
11028,2018-05-21,2018-05-28 03:09:14 UTC,11,Male,38,2135,
11029,2019-07-18,2019-07-25 08:56:10 UTC,16,Female,89,2285,
11030,2019-01-24,2019-01-31 15:43:36 UTC,5,Female,77,2412,
11031,2019-05-22,2019-05-29 10:21:10 UTC,11,Female,91,2864,
11032,2019-08-13,2019-08-20 02:06:07 UTC,18,Male,81,2735,
11033,2018-12-18,2018-12-25 05:45:11 UTC,3,Female,27,2972,
11034,2020-06-10,2020-06-17 20:30:58 UTC,9,Female,23,2235,
11035,2020-07-21,2020-07-28 20:18:17 UTC,18,Female,43,2426,
11036,2018-06-18,2018-06-25 08:26:51 UTC,11,Female,78,2860,
11037,2019-03-28,2019-04-04 18:25:30 UTC,4,Female,75,2271,
11038,2020-05-07,2020-05-14 17:01:01 UTC,7,Male,83,2945,
11039,2018-01-15,2018-01-22 10:15:49 UTC,10,Male,62,2957,
11040,2019-06-06,2019-06-13 14:53:51 UTC,9,Male,48,2929,
11041,2019-11-22,2019-11-29 23:13:07 UTC,11,Female,20,2493,
11042,2019-12-15,2019-12-22 17:04:48 UTC,9,Male,62,2001,
11043,2019-04-15,2019-04-22 20:15:56 UTC,10,Female,61,2006,
11044,2019-07-07,2019-07-14 18:11:48 UTC,16,Male,27,2325,
11045,2018-12-16,2018-12-23 07:30:05 UTC,6,Female,82,2788,
11046,2018-07-31,2018-08-07 16:57:48 UTC,4,Male,24,2701,
11047,2018-04-02,2018-04-09 23:46:29 UTC,5,Female,99,2251,
11048,2019-01-24,2019-01-31 00:38:57 UTC,2,Male,49,2826,
11049,2020-06-26,2020-07-03 00:26:17 UTC,2,Female,43,2558,
11050,2018-07-05,2018-07-12 22:24:12 UTC,20,Female,99,2743,
11051,2019-04-27,2019-05-04 10:39:31 UTC,19,Female,100,2064,
11052,2020-03-31,2020-04-07 12:21:28 UTC,3,Female,71,2483,
11053,2019-10-24,2019-10-31 18:09:08 UTC,14,Male,86,2349,
11054,2019-05-31,2019-06-07 02:19:41 UTC,15,Female,93,2177,
11055,2019-12-29,2020-01-05 18:04:28 UTC,7,Female,91,2809,
11056,2018-05-11,2018-05-18 13:11:07 UTC,16,Male,95,2576,
11057,2020-03-12,2020-03-19 12:41:35 UTC,19,Female,72,2482,
11058,2019-06-19,2019-06-26 10:59:09 UTC,6,Female,11,2346,
11059,2020-08-03,2020-08-10 00:06:03 UTC,8,Male,64,2769,
11060,2019-04-02,2019-04-09 23:20:19 UTC,8,Female,20,2068,
11061,2018-06-10,2018-06-17 00:33:06 UTC,2,Male,30,2371,
11062,2019-06-30,2019-07-07 08:02:12 UTC,19,Female,48,2122,
11063,2019-07-22,2019-07-29 23:16:25 UTC,4,Male,27,2961,
11064,2020-02-01,2020-02-08 00:46:39 UTC,5,Male,49,2672,
11065,2019-05-12,2019-05-19 06:38:09 UTC,10,Male,78,2826,
11066,2020-07-26,2020-08-02 17:39:40 UTC,15,Male,84,2785,
11067,2019-03-01,2019-03-08 01:37:45 UTC,1,Male,68,2242,
11068,2019-04-14,2019-04-21 19:22:22 UTC,5,Male,18,2244,
11069,2019-11-05,2019-11-12 18:54:10 UTC,12,Female,52,2109,
11070,2020-02-24,2020-03-02 14:53:33 UTC,16,Female,67,2078,
11071,2019-09-25,2019-10-02 18:57:43 UTC,8,Male,36,2964,
11072,2018-04-15,2018-04-22 16:53:29 UTC,9,Male,37,2767,
11073,2020-03-25,2020-04-01 08:04:59 UTC,8,Male,93,2378,
11074,2020-04-26,2020-05-03 22:41:11 UTC,8,Male,54,2086,
11075,2018-01-27,2018-02-03 05:01:47 UTC,2,Female,57,2059,
11076,2020-08-11,2020-08-18 23:02:35 UTC,16,Female,78,2804,
11077,2019-08-13,2019-08-20 16:59:41 UTC,3,Female,13,2731,
11078,2019-08-31,2019-09-07 18:00:30 UTC,11,Male,50,2345,
11079,2019-03-31,2019-04-07 18:16:02 UTC,17,Female,37,2781,
11080,2018-06-20,2018-06-27 16:31:39 UTC,14,Female,70,2512,
11081,2019-10-22,2019-10-29 13:20:22 UTC,6,Male,55,2642,
11082,2019-09-08,2019-09-15 22:40:24 UTC,5,Male,92,2551,
11083,2018-12-17,2018-12-24 04:15:05 UTC,7,Female,64,2321,
11084,2020-02-12,2020-02-19 02:40:05 UTC,19,Female,68,2107,
11085,2020-04-07,2020-04-14 00:19:20 UTC,3,Male,53,2317,
11086,2018-04-04,2018-04-11 06:17:17 UTC,4,Female,59,2338,
11087,2018-10-17,2018-10-24 09:52:01 UTC,15,Male,49,2029,
11088,2019-03-20,2019-03-27 05:00:47 UTC,1,Female,83,2337,
11089,2019-08-16,2019-08-23 12:45:06 UTC,20,Female,24,2799,
11090,2019-03-25,2019-04-01 19:14:19 UTC,10,Female,32,2865,
11091,2018-08-05,2018-08-12 03:35:32 UTC,5,Male,83,2708,
11092,2019-08-15,2019-08-22 04:08:31 UTC,7,Female,65,2337,
11093,2020-03-06,2020-03-13 13:23:10 UTC,15,Female,98,2127,
11094,2019-01-06,2019-01-13 19:47:58 UTC,11,Female,73,2619,
11095,2018-07-17,2018-07-24 22:13:45 UTC,15,Male,13,2118,
11096,2019-06-02,2019-06-09 13:33:19 UTC,4,Male,10,2205,
11097,2018-03-24,2018-03-31 23:00:25 UTC,15,Male,23,2750,
11098,2018-04-04,2018-04-11 13:56:13 UTC,13,Male,32,2111,
11099,2020-04-29,2020-05-06 10:00:32 UTC,18,Male,87,2567,
11100,2019-03-08,2019-03-15 18:59:17 UTC,13,Male,20,2367,
11101,2018-06-10,2018-06-17 07:04:17 UTC,9,Female,61,2806,
11102,2020-07-30,2020-08-06 02:29:43 UTC,9,Male,44,2247,
11103,2018-11-06,2018-11-13 12:36:13 UTC,16,Male,99,2582,
11104,2018-10-26,2018-11-02 00:36:11 UTC,6,Male,59,2899,
11105,2020-05-18,2020-05-25 13:49:43 UTC,5,Male,61,2306,
11106,2018-06-28,2018-07-05 22:36:52 UTC,13,Female,13,2764,
11107,2020-05-30,2020-06-06 16:01:00 UTC,17,Male,72,2057,
11108,2020-06-25,2020-07-02 08:52:58 UTC,2,Male,14,2722,
11109,2020-05-14,2020-05-21 07:46:23 UTC,20,Male,68,2049,
11110,2018-09-09,2018-09-16 03:00:25 UTC,15,Female,65,2758,
11111,2019-10-17,2019-10-24 09:08:21 UTC,18,Male,11,2206,
11112,2020-04-16,2020-04-23 15:35:04 UTC,10,Female,51,2658,
11113,2020-07-26,2020-08-02 15:40:30 UTC,18,Male,20,2776,
11114,2020-03-09,2020-03-16 02:42:24 UTC,9,Female,54,2936,
11115,2020-02-26,2020-03-04 21:32:22 UTC,3,Female,80,2490,
11116,2018-04-21,2018-04-28 06:20:37 UTC,10,Male,85,2413,
11117,2018-12-03,2018-12-10 00:35:42 UTC,16,Male,96,2830,
11118,2019-12-18,2019-12-25 21:40:05 UTC,1,Male,42,2323,
11119,2019-12-25,2020-01-01 08:19:46 UTC,12,Female,19,2591,
11120,2018-07-15,2018-07-22 11:51:20 UTC,9,Male,70,2206,
11121,2018-02-27,2018-03-06 12:47:59 UTC,7,Male,49,2186,
11122,2020-04-29,2020-05-06 14:56:56 UTC,11,Female,20,2705,
11123,2018-07-09,2018-07-16 11:26:48 UTC,19,Female,52,2809,
11124,2020-01-20,2020-01-27 00:50:34 UTC,11,Male,65,2020,
11125,2020-07-04,2020-07-11 05:47:42 UTC,3,Female,48,2372,
11126,2020-06-20,2020-06-27 00:46:20 UTC,16,Female,27,2130,
11127,2019-12-04,2019-12-11 16:42:22 UTC,2,Female,12,2135,
11128,2020-05-30,2020-06-06 08:37:06 UTC,6,Male,56,2160,
11129,2020-07-07,2020-07-14 04:55:31 UTC,9,Female,12,2293,
11130,2018-08-05,2018-08-12 21:40:56 UTC,2,Male,71,2531,
11131,2018-03-30,2018-04-06 23:35:07 UTC,8,Female,75,2042,
11132,2019-07-08,2019-07-15 22:47:56 UTC,14,Female,22,2861,
11133,2018-07-27,2018-08-03 00:55:36 UTC,13,Male,76,2242,
11134,2018-05-23,2018-05-30 22:42:58 UTC,10,Female,37,2647,
11135,2018-01-19,2018-01-26 03:39:05 UTC,16,Male,35,2981,
11136,2019-08-14,2019-08-21 08:18:44 UTC,10,Female,79,2129,
11137,2019-05-01,2019-05-08 11:09:52 UTC,17,Male,37,2918,
11138,2019-12-05,2019-12-12 17:15:59 UTC,19,Female,83,2224,
11139,2019-12-08,2019-12-15 11:12:55 UTC,16,Female,20,2082,
