id,fechaInicio,duracion,cantidad,tipo,cliente
1001,2018-10-23,30,5,APARTAMENTO,21
1002,2018-12-25,22,14,APARTAMENTO,869
1003,2019-01-27,14,27,APARTAMENTO,878
1004,2019-03-05,4,36,HABITACION,663
1005,2020-04-07,29,17,APARTAMENTO,472
1006,2019-01-21,4,34,HABITACION,19
1007,2019-06-14,30,19,APARTAMENTO,721
1008,2018-10-22,6,13,APARTAMENTO,645
1009,2020-03-29,10,17,HABITACION,742
1010,2019-10-26,11,34,APARTAMENTO,328
1011,2020-04-22,25,9,APARTAMENTO,964
1012,2020-01-16,23,3,APARTAMENTO,698
1013,2018-12-04,27,1,HABITACION,694
1014,2018-11-25,17,15,HABITACION,863
1015,2020-05-10,5,9,HABITACION,76
1016,2019-12-09,13,9,HABITACION,950
1017,2020-05-03,5,11,HABITACION,964
1018,2020-04-28,25,10,APARTAMENTO,755
1019,2019-08-05,19,10,HABITACION,742
1020,2020-04-08,10,22,HABITACION,395
1021,2020-03-18,28,39,APARTAMENTO,116
1022,2019-07-24,24,33,HABITACION,898
1023,2019-02-08,22,17,HABITACION,107
1024,2019-12-18,25,39,APARTAMENTO,361
1025,2019-08-05,11,1,APARTAMENTO,488
1026,2019-04-19,24,23,APARTAMENTO,900
1027,2019-11-19,2,18,HABITACION,601
1028,2019-09-25,11,36,APARTAMENTO,110
1029,2019-08-23,4,2,APARTAMENTO,339
1030,2018-10-22,11,36,HABITACION,827
1031,2020-02-05,9,27,APARTAMENTO,347
1032,2019-12-29,27,39,APARTAMENTO,883
1033,2020-04-27,24,12,HABITACION,462
1034,2019-11-25,1,18,HABITACION,962
1035,2018-10-19,22,23,HABITACION,144
1036,2020-02-04,18,4,APARTAMENTO,925
1037,2019-12-24,8,32,HABITACION,776
1038,2019-02-12,15,40,HABITACION,961
1039,2019-02-21,6,14,APARTAMENTO,135
1040,2019-09-29,3,40,APARTAMENTO,719
1041,2019-11-05,20,25,APARTAMENTO,920
1042,2020-02-10,7,21,APARTAMENTO,654
1043,2020-01-25,4,1,HABITACION,672
