IDAPARTAMENTO,IDRESERVA
3661,789
3916,128
3092,118
3044,561
3837,558
3401,881
3657,760
3840,765
3769,182
3704,612
3127,678
3181,307
3867,402
3905,215
3786,317
3452,400
3293,200
3808,405
3831,951
3207,452
3347,414
3465,318
3855,501
3715,640
3604,22
3634,568
3902,309
3792,655
3668,204
3448,651
3853,426
3358,502
3766,330
3755,564
3290,968
3952,689
3743,864
3666,597
3594,523
3496,797
3862,662
3194,29
3216,134
3513,138
3215,994
3861,185
3254,116
3447,340
3311,762
3351,626
3478,842
3961,992
3874,466
3465,652
3888,847
3718,414
3279,890
3091,383
3565,475
3688,296
3240,252
3780,639
3302,149
3022,87
3734,713
3300,678
3317,768
3755,11
3731,786
3549,630
3277,895
3484,293
3469,371
3290,600
3664,850
3593,300
3502,49
3409,396
3982,901
3463,408
3785,539
3010,990
3294,247
3043,100
3875,62
3325,476
3453,582
3003,58
3757,401
3972,644
3859,128
3151,203
3734,776
3057,470
3647,706
3352,98
3808,917
3105,683
3137,974
3138,447
3744,233
3184,874
3209,643
3247,721
3680,358
3930,387
3434,963
3788,166
3233,134
3651,66
3286,430
3439,133
3547,166
3332,450
3628,860
3601,213
3552,717
3985,153
3713,236
3817,430
3979,241
3980,909
3181,1
3957,147
3170,883
3499,109
3303,482
3854,899
3912,625
3195,930
3720,365
3571,646
3534,682
3929,269
3254,899
3725,355
3404,269
3651,637
3147,840
3403,333
3764,334
3835,863
3685,39
3635,120
3229,539
3882,504
3474,519
3187,277
3613,153
3748,592
3474,181
3668,272
3874,989
3277,492
3589,274
3031,617
3791,654
3275,229
3918,861
3762,755
3269,222
3511,44
3079,818
3658,8
3517,816
3866,179
3837,988
3314,512
3916,477
3009,86
3075,68
3800,278
3527,97
3391,933
3480,89
3840,5
3406,10
3782,522
3404,111
3438,613
3253,4
3992,310
3998,842
3153,630
3247,408
3691,578
3720,679
3935,760
3489,90
3414,710
3804,101
3520,53
3956,265
3015,796
3472,230
3366,716
3493,488
3237,824
3562,410
3940,357
3385,236
3180,709
3582,286
3104,79
3163,819
3760,152
3882,650
3198,429
3536,1
3229,762
3598,379
3910,219
3680,388
3726,34
3944,389
3544,34
3877,452
3823,705
3665,307
3894,388
3345,637
3202,987
3380,750
3485,373
3313,16
3920,548
3363,116
3758,182
3954,6
3160,274
3995,428
3869,827
3473,915
3228,852
3062,199
3167,758
3192,201
3087,486
3693,39
3202,963
3493,587
3822,966
3619,169
3702,79
3534,900
3915,17
3257,983
3826,851
3050,886
3172,785
3881,889
3955,312
3365,847
3900,376
3627,559
3974,787
3193,904
3809,589
3003,570
3336,302
3652,447
3112,719
3052,906
3100,151
3233,50
3435,961
3418,276
3760,789
3607,930
3282,314
3627,987
3012,326
3983,159
3219,53
3854,223
3703,56
3536,820
3262,960
3212,722
3153,185
3343,133
3760,365
3863,440
3002,171
3957,26
3205,481
3339,107
3648,46
3986,793
3079,346
3003,878
3249,899
3118,125
3233,667
3551,869
3138,302
3490,643
3499,873
3920,279
3339,844
3200,436
3568,34
3313,775
3138,957
3624,404
3782,249
3954,646
3029,743
3929,361
3279,262
3583,177
3693,86
3150,456
3901,164
3334,564
3696,921
3459,876
3374,444
3320,740
3443,104
3063,915
3784,370
3005,432
3092,370
3202,284
3216,408
3172,811
3265,964
3613,173
3715,553
3498,541
3446,426
3938,571
3337,805
3955,358
3869,343
3190,952
3303,630
3892,467
3032,578
3325,947
3529,400
3201,599
3867,183
3321,457
3839,173
3067,704
3831,423
3324,181
3248,450
3047,231
3306,76
3191,738
3689,491
3832,385
3475,314
3827,672
3257,635
3322,385
3524,775
3044,157
3565,179
3129,195
3719,795
3930,965
3153,141
3873,241
3970,986
3670,112
3329,240
3686,541
3868,602
