IDHabitacion,IDReserva
1393,4099
1424,4421
1236,4121
1180,4948
1439,4179
1672,4735
1813,4089
1347,4818
1943,4260
1007,4754
1015,4019
1135,4948
1270,4657
1125,4614
1413,4141
1504,4083
1947,4211
1265,4254
1863,4131
1014,4793
1572,4406
1278,4726
1182,4361
1118,4995
1510,4497
1871,4968
1498,4136
1023,4583
1579,4760
1821,4112
1560,4825
1102,4581
1956,4534
1437,4914
1635,4355
1959,4806
1674,4028
1554,4756
1129,4326
1405,4640
1458,4002
1864,4671
1971,4954
1450,4595
1004,4979
1815,4095
1733,4650
1700,4786
1374,4367
1455,4359
1959,4486
1433,4052
1276,4721
1138,4621
1675,4712
1662,4764
1532,4561
1463,4646
1612,4866
1727,4732
1986,4286
1141,4694
1646,4055
1201,4370
1282,4842
1305,4104
1259,4063
1507,4212
1294,4284
1315,4627
1321,4990
1699,4257
1914,4497
1650,4463
1466,4962
1805,4138
1201,4522
1320,4394
1692,4405
1213,4022
1872,4911
1854,4153
1472,4972
1851,4413
1585,4417
1741,4295
1568,4415
1651,4721
1202,4132
1616,4399
1432,4046
1717,4590
1684,4187
1095,4105
1443,4771
1054,4076
1596,4630
1846,4575
1050,4971
1510,4225
1786,4159
1482,4252
1598,4326
1363,4098
1904,4258
1274,4706
1175,4601
1643,4457
1106,4138
1420,4194
1649,4576
1768,4324
1326,4430
1809,4956
1220,4589
1443,4467
1602,4360
1539,4435
1960,4043
1442,4870
1646,4942
1402,4508
1538,4439
1137,4150
1197,4201
1347,4990
1423,4511
1112,4573
1762,4011
1496,4045
1427,4574
1564,4340
1620,4899
1550,4451
1060,4379
1092,4890
1633,4371
1707,4058
1522,4161
1895,4815
1011,4882
1946,4813
1375,4897
1321,4113
1900,4653
1762,4778
1602,4792
1560,4738
1171,4235
1427,4637
1238,4234
1659,4549
1354,4334
1355,4872
1964,4255
1649,4447
1042,4730
1057,4952
1527,4313
1730,4845
1545,4152
1507,4513
1717,4055
1225,4222
1476,4179
1121,4121
1869,4962
1750,4991
1663,4687
1435,4785
1990,4114
1910,4937
1056,4940
1556,4410
1292,4786
1923,4089
1389,4743
1959,4892
1427,4430
1388,4934
1522,4499
1077,4460
1749,4134
1334,4614
1007,4812
1253,4469
1306,4766
1406,4215
1390,4944
1556,4491
1411,4976
1942,4836
1441,4836
1833,4980
1854,4784
1860,4602
1881,4376
1358,4332
1967,4004
1520,4002
1306,4237
1876,4020
1504,4862
1404,4920
1206,4511
1964,4145
1562,4534
1040,4376
1596,4771
1615,4630
1314,4730
1605,4733
1450,4777
1626,4477
1465,4625
1429,4842
1072,4532
1953,4304
1644,4774
1964,4419
1629,4824
1071,4513
1604,4676
1063,4220
1886,4689
1510,4251
1243,4394
1947,4240
1468,4737
1944,4193
1938,4434
1774,4992
1863,4563
1796,4740
1177,4256
1047,4713
1141,4099
1892,4443
1578,4360
1689,4657
1231,4511
1886,4518
1209,4497
1697,4498
1320,4547
1613,4111
1561,4568
1716,4292
1977,4872
1176,4537
1395,4732
1563,4029
1537,4137
1836,4360
1732,4890
1604,4224
1978,4287
1169,4605
1267,4023
1115,4740
1758,4654
1817,4919
1101,4046
1704,4998
1155,4340
1522,4041
1897,4454
1128,4082
1750,4073
1187,4833
1381,4857
1349,4614
1542,4441
1272,4109
1208,4379
1327,4660
1472,4738
1766,4673
1653,4114
1044,4010
1915,4241
1181,4956
1653,4150
1542,4335
1958,4102
1119,4370
1376,4625
1732,4962
1136,4850
1643,4191
1278,4901
1316,4403
1126,4131
1846,4748
1808,4549
1878,4388
1547,4232
1350,4640
1894,4599
1477,4962
1315,4866
1203,4306
1405,4036
1091,4642
1098,4144
1092,4035
1062,4071
1930,4001
1909,4759
1856,4300
1799,4519
1306,4699
1285,4353
1004,4326
1582,4686
1806,4290
1266,4943
1571,4678
1601,4807
1443,4162
1138,4161
1828,4607
1692,4124
1185,4564
1936,4153
1776,4204
1817,4768
1944,4965
1333,4535
1065,4120
1451,4068
1680,4124
1503,4062
1345,4525
1213,4247
1689,4476
1882,4279
1609,4407
1965,4308
1065,4760
1295,4612
1020,4386
1485,4887
1495,4992
1321,4011
1921,4349
1255,4663
1353,4887
1926,4511
1735,4046
1832,4223
1272,4394
1315,4786
1441,4148
1520,4883
1880,4509
1983,4109
1387,4860
1766,4641
1145,4542
1076,4809
1292,4665
1701,4044
1348,4411
1497,4425
1562,4228
1856,4835
1630,4745
1465,4480
1699,4004
1907,4499
1704,4244
1030,4098
1706,4524
1772,4339
1346,4308
1134,4097
1233,4086
1393,4816
1520,4494
1841,4624
1925,4622
1730,4090
1451,4246
1712,4020
1913,4484
1140,4710
1596,4293
1134,4068
1306,4004
1178,4161
1432,4907
1072,4616
1249,4208
1459,4376
1326,4164
1089,4496
1225,4716
1388,4126
1020,4719
1412,4180
1474,4594
1911,4547
1374,4415
1365,4188
1921,4778
1941,4156
1063,4856
1238,4818
1239,4125
1426,4042
1796,4250
1388,4830
1588,4841
1011,4284
1144,4204
1200,4387
1214,4096
1808,4217
1585,4214
1466,4776
1063,4558
1014,4813
1480,4698
1622,4800
1751,4481
1226,4366
1739,4436
1757,4621
1973,4881
1607,4405
1510,4141
1241,4714
1979,4390
1192,4898
1305,4784
1906,4910
1832,4612
1359,4389
1227,4278
1760,4144
1699,4566
1022,4133
1006,4149
1007,4008
1035,4302
1753,4046
1754,4408
1168,4529
1311,4688
1612,4480
1302,4724
1724,4492
1743,4049
1011,4184
1276,4540
1914,4101
1336,4264
1611,4524
1741,4217
1864,4368
1008,4365
1580,4619
1284,4443
1235,4327
1554,4445
1689,4321
1590,4233
1881,4629
1054,4429
1985,4983
1735,4974
1655,4288
1683,4831
1648,4251
1914,4482
1915,4481
1612,4838
1457,4630
1407,4108
1770,4825
1286,4908
1177,4506
1454,4312
1236,4022
1141,4330
1421,4161
1321,4679
1377,4231
1225,4071
1446,4807
1232,4637
1953,4650
1708,4529
1015,4229
1372,4779
1424,4788
1609,4543
1484,4359
1564,4060
1502,4582
1775,4886
1679,4313
1088,4286
1906,4906
1746,4533
1307,4158
1742,4138
1105,4841
1198,4332
1021,4323
1748,4050
1114,4857
1337,4343
1780,4611
1346,4831
1040,4270
1552,4163
1422,4527
1861,4498
1753,4325
1382,4128
1617,4476
1360,4548
1922,4451
1117,4425
1701,4917
1326,4653
1373,4636
1542,4103
1728,4750
1569,4581
1747,4904
1136,4175
1358,4600
1354,4216
1674,4739
1851,4748
1565,4030
1737,4380
1276,4607
1480,4218
1072,4376
1033,4748
1052,4641
1144,4642
1281,4854
1138,4712
1435,4270
1454,4037
1739,4263
1359,4987
1900,4886
1893,4476
1058,4188
1792,4956
1489,4522
1770,4014
1984,4373
1932,4293
1470,4114
1399,4899
1811,4776
1771,4096
1520,4230
1374,4887
1814,4784
1893,4563
1642,4439
1828,4763
1486,4857
1281,4462
1826,4232
1844,4213
1209,4761
1107,4988
1143,4447
1355,4129
1586,4888
