id,tipo,precio,intervalo pago,propiedad
6001,Kids,474.5,41,4412
6002,Industrial,478.7,11,4847
6003,Automotive,268.47,74,4936
6004,Electronics,452.3,76,4436
6005,Shoes,105.22,59,4338
6006,Kids,192.29,48,4860
6007,Garden,224.83,43,4954
6008,Electronics,30.13,26,4966
6009,Health,398.17,36,4437
6010,Sports,4.3,46,4207
6011,Books,9.34,9,4648
6012,Clothing,30.23,65,4275
6013,Clothing,189.75,6,4891
6014,Outdoors,32.61,31,4524
6015,Jewelery,330.99,76,4508
6016,Music,88.96,6,4765
6017,Books,195.56,63,4326
6018,Jewelery,270.06,41,4354
6019,Outdoors,357.67,82,4133
6020,Automotive,491.25,55,4219
6021,Tools,166.1,40,4133
6022,Home,70.89,42,4037
6023,Computers,171.89,1,4613
6024,Toys,231.64,90,4591
6025,Garden,378.36,75,4789
6026,Toys,116.46,66,4180
6027,Computers,430.3,15,4949
6028,Sports,360.25,59,4550
6029,Music,460.53,33,4779
6030,Garden,302.1,54,4870
6031,Beauty,293.22,9,4224
6032,Industrial,495.74,63,4071
6033,Books,88.22,82,4773
6034,Books,37.92,85,4322
6035,Shoes,12.79,20,4833
6036,Health,413.72,51,4798
6037,Beauty,394.75,44,4467
6038,Shoes,87.78,63,4753
6039,Clothing,176.3,71,4720
6040,Movies,72.28,78,4569
6041,Home,454.02,18,4653
6042,Industrial,273.78,65,4123
6043,Tools,166.22,89,4679
6044,Games,125.14,49,4839
6045,Books,6.89,30,4883
6046,Baby,176.16,6,4997
6047,Books,81.38,9,4118
6048,Grocery,252.55,61,4037
6049,Books,201.92,45,4241
6050,Sports,368.23,27,4938
6051,Books,175.4,15,4490
6052,Grocery,369.07,86,4056
6053,Industrial,459.09,35,4238
6054,Shoes,319.42,53,4484
6055,Beauty,349.41,11,4978
6056,Music,497.84,53,4672
6057,Industrial,256.4,3,4808
6058,Movies,57.45,66,4706
6059,Clothing,291.59,75,4736
6060,Outdoors,64.5,39,4048
6061,Beauty,109.82,84,4315
6062,Health,38.66,26,4661
6063,Grocery,489.43,62,4498
6064,Toys,356.96,70,4599
6065,Outdoors,56.52,1,4800
6066,Movies,432.74,23,4728
6067,Electronics,92.44,31,4179
6068,Movies,57.0,65,4005
6069,Industrial,352.34,17,4307
6070,Industrial,289.41,75,4987
6071,Electronics,418.63,23,4667
6072,Outdoors,163.54,46,4862
6073,Industrial,22.01,57,4952
6074,Toys,71.03,64,4220
6075,Home,497.84,11,4180
6076,Outdoors,55.33,11,4081
6077,Grocery,439.62,82,4369
6078,Industrial,233.87,10,4215
6079,Industrial,450.97,85,4418
6080,Outdoors,497.92,52,4757
6081,Garden,179.29,87,4248
6082,Sports,20.13,58,4998
6083,Movies,499.51,2,4538
6084,Clothing,400.73,27,4921
6085,Home,218.1,25,4009
6086,Automotive,451.78,49,4102
6087,Sports,98.06,68,4734
6088,Automotive,80.8,10,4031
6089,Movies,198.44,4,4385
6090,Garden,226.64,90,4497
6091,Tools,336.97,60,4812
6092,Kids,58.24,51,4051
6093,Music,18.57,84,4048
6094,Movies,150.37,61,4537
6095,Shoes,403.87,83,4755
6096,Home,258.17,35,4680
6097,Health,272.49,2,4754
6098,Computers,110.96,87,4340
6099,Industrial,376.62,80,4345
6100,Toys,466.06,40,4025
6101,Electronics,29.73,6,4150
