id,fechaInicio,fechaFin,personas,porcentaje a pagar,montoTotal,propiedad,colectiva
1,2020-05-30,2020-06-06 08:08:13 UTC,14,Male,63,3236,804
2,2018-09-08,2018-09-15 16:28:59 UTC,9,Female,30,3668,414
3,2018-01-20,2018-01-27 06:10:24 UTC,2,Male,89,3704,346
4,2018-09-05,2018-09-12 07:37:52 UTC,14,Male,93,3226,247
5,2020-02-03,2020-02-10 13:40:25 UTC,5,Male,100,3933,629
6,2019-05-08,2019-05-15 22:50:09 UTC,1,Female,85,3720,56
7,2019-10-29,2019-11-05 13:20:52 UTC,16,Male,94,3691,263
8,2019-09-01,2019-09-08 05:36:48 UTC,9,Female,58,3171,487
9,2019-06-01,2019-06-08 07:09:17 UTC,15,Male,89,3633,570
10,2019-12-15,2019-12-22 00:32:14 UTC,11,Male,41,3381,581
11,2018-01-27,2018-02-03 22:43:59 UTC,15,Male,50,3190,536
12,2020-05-12,2020-05-19 11:44:18 UTC,17,Female,47,3306,864
13,2019-05-12,2019-05-19 02:19:17 UTC,5,Male,71,3065,919
14,2018-11-17,2018-11-24 20:18:30 UTC,14,Male,28,3622,815
15,2018-07-01,2018-07-08 18:26:25 UTC,8,Female,28,3664,837
16,2018-01-08,2018-01-15 12:37:11 UTC,3,Female,43,3004,348
17,2018-07-14,2018-07-21 11:44:47 UTC,7,Male,17,3952,312
18,2018-05-28,2018-06-04 00:33:07 UTC,17,Female,63,3499,210
19,2019-02-08,2019-02-15 02:34:40 UTC,17,Male,46,3363,697
20,2018-05-20,2018-05-27 18:13:05 UTC,8,Male,80,3697,922
21,2019-11-18,2019-11-25 08:37:03 UTC,11,Male,16,3736,903
22,2020-06-24,2020-07-01 18:03:38 UTC,8,Female,17,3537,2
23,2019-03-22,2019-03-29 01:27:26 UTC,8,Male,73,3946,225
24,2018-03-06,2018-03-13 08:15:03 UTC,3,Female,79,3617,755
25,2018-12-21,2018-12-28 05:58:41 UTC,16,Female,14,3753,215
26,2019-10-17,2019-10-24 21:52:24 UTC,6,Male,67,3967,127
27,2020-04-20,2020-04-27 16:29:53 UTC,14,Male,64,3594,983
28,2018-10-26,2018-11-02 12:02:56 UTC,19,Male,26,3817,494
29,2019-03-02,2019-03-09 20:40:25 UTC,1,Male,45,3519,372
30,2019-05-05,2019-05-12 05:34:18 UTC,16,Male,91,3269,825
