id,tipo,precio,intervalo pago,propiedad
1,Movies,354.84,15,3576
2,Beauty,486.32,42,3480
3,Home,231.56,62,3442
4,Books,1.19,50,3840
5,Books,366.18,45,3301
6,Jewelery,280.43,71,3363
7,Movies,156.81,73,3208
8,Health,137.89,15,3926
9,Games,296.95,57,3665
10,Home,164.08,17,3222
11,Grocery,211.46,77,3028
12,Grocery,378.18,41,3654
13,Tools,4.94,43,3485
14,Books,391.77,59,3919
15,Tools,273.6,71,3285
16,Sports,321.69,45,3337
17,Computers,461.28,77,3797
18,Grocery,275.71,43,3869
19,Home,75.87,31,3631
20,Health,415.91,60,3377
21,Books,393.94,44,3884
22,Books,349.75,52,3617
23,Electronics,249.57,72,3519
24,Sports,99.25,37,3922
25,Beauty,147.08,79,3410
26,Toys,325.83,51,3582
27,Outdoors,463.84,64,3978
28,Automotive,148.79,80,3712
29,Clothing,73.57,11,3341
30,Games,119.68,84,3973
31,Electronics,280.66,58,3443
32,Industrial,201.89,62,3961
33,Toys,406.02,81,3409
34,Baby,316.35,24,3978
35,Industrial,378.49,83,3121
36,Electronics,124.66,30,3091
37,Clothing,377.81,55,3677
38,Outdoors,82.9,46,3423
39,Movies,93.85,10,3608
40,Grocery,341.52,56,3540
41,Garden,150.8,14,3196
42,Kids,26.03,45,3369
43,Industrial,155.32,79,3918
44,Games,43.08,39,3388
45,Electronics,370.55,39,3001
46,Grocery,412.23,90,3605
47,Kids,239.89,19,3040
48,Beauty,116.49,33,3214
49,Books,209.77,32,3591
50,Garden,137.89,2,3081
51,Music,101.1,14,3588
52,Electronics,298.08,62,3746
53,Books,377.97,6,3438
54,Jewelery,150.93,48,3251
55,Home,339.13,25,3055
56,Automotive,464.06,87,3653
57,Garden,445.01,52,3914
58,Tools,17.29,7,3487
59,Sports,50.62,13,3347
60,Books,383.45,11,3202
61,Sports,5.99,27,3676
62,Jewelery,37.75,61,3255
63,Tools,16.99,12,3834
64,Beauty,404.82,15,3672
65,Jewelery,254.26,24,3343
66,Garden,206.52,62,3489
67,Electronics,272.17,39,3003
68,Kids,132.06,70,3241
69,Clothing,37.69,72,3101
70,Baby,243.83,47,3240
71,Games,189.86,35,3621
72,Shoes,247.45,74,3375
73,Movies,421.48,45,3098
74,Outdoors,309.23,28,3080
75,Outdoors,414.41,77,3115
76,Computers,22.11,34,3284
77,Computers,322.81,13,3809
78,Garden,235.46,74,3568
79,Garden,244.79,2,3935
80,Electronics,184.08,38,3868
81,Baby,250.25,27,3212
82,Toys,163.38,18,3224
83,Clothing,68.49,28,3283
84,Kids,384.53,48,3224
85,Kids,40.48,80,3789
86,Tools,236.81,69,3627
87,Computers,325.49,47,3250
88,Baby,359.81,3,3748
89,Computers,321.67,12,3330
90,Shoes,361.07,76,3243
91,Garden,393.81,43,4000
92,Games,53.19,38,3121
93,Jewelery,86.09,39,3585
94,Sports,143.17,17,3294
95,Computers,330.76,10,3071
96,Automotive,211.95,53,3881
97,Health,177.55,76,3805
98,Baby,485.25,18,3999
99,Games,216.09,53,3063
100,Baby,122.57,60,3593
101,Electronics,202.66,8,3484
102,Jewelery,474.76,39,3359
103,Tools,145.83,60,3155
104,Clothing,386.82,60,3082
105,Toys,281.46,18,3267
106,Jewelery,42.83,9,3009
107,Clothing,142.8,45,3568
108,Music,83.28,63,3047
109,Beauty,307.41,60,3986
110,Tools,481.65,77,3920
111,Health,290.56,60,3020
112,Toys,191.18,33,3877
113,Toys,199.84,61,3532
114,Grocery,346.0,62,3639
115,Grocery,411.11,27,3762
116,Books,443.79,10,3026
117,Industrial,35.65,37,3456
118,Electronics,361.11,43,3985
119,Kids,67.94,38,3455
120,Baby,363.43,58,3676
121,Health,69.88,85,3469
122,Computers,295.0,88,3945
123,Industrial,257.77,59,3424
124,Electronics,36.78,3,3776
125,Music,372.62,38,3218
126,Games,480.92,81,3162
